"kegg_id","GeneName","GeneID"
"ecs:ECs_0155","iron(3+)-hydroxamate import ABC transporter ATPase","ECs_0155"
"ecs:ECs_5727","phage endopeptidase","ECs_5727"
"ecs:ECs_0853","biotin synthase","ECs_0853"
"ecs:ECs_2956","membrane protein","ECs_2956"
"ecs:ECs_4214","peptidyl-prolyl cis-trans isomerase A","ECs_4214"
"ecs:ECs_R0068","tRNA-Gly","ECs_R0068"
"ecs:ECs_1862","transcription regulatory protein","ECs_1862"
"ecs:ECs_0529","acetyl esterase","ECs_0529"
"ecs:ECs_2185","phage antirepressor","ECs_2185"
"ecs:ECs_0854","8-amino-7-oxononanoate synthase","ECs_0854"
"ecs:ECs_0851","kinase inhibitor","ECs_0851"
"ecs:ECs_0769","cytochrome d terminal oxidase subunit II","ECs_0769"
"ecs:ECs_1395","GTP-binding protein","ECs_1395"
"ecs:ECs_1663","outer membrane protease VII","ECs_1663"
"ecs:ECs_0037","cai operon transcriptional activator","ECs_0037"
"ecs:ECs_4041","luciferase-like monooxygenase","ECs_4041"
"ecs:ECs_4522","DNA ligase","ECs_4522"
"ecs:ECs_5327","ferric iron reductase involved in ferric hydroxamate transport","ECs_5327"
"ecs:ECs_0154","ferrichrome outer membrane transporter","ECs_0154"
"ecs:ECs_3823","glutathione synthetase","ECs_3823"
"ecs:ECs_1389","hypothetical protein","ECs_1389"
"ecs:ECs_2036","lipoprotein","ECs_2036"
"ecs:ECs_3619","sulfite reductase alpha subunit flavoprotein","ECs_3619"
"ecs:ECs_2245","phage minor tail protein","ECs_2245"
"ecs:ECs_1752","periplasmic protein TonB","ECs_1752"
"ecs:ECs_1807","outer membrane precursor Lom","ECs_1807"
"ecs:ECs_1856","osmotically and stress inducible lipoprotein","ECs_1856"
"ecs:ECs_0785","galactokinase","ECs_0785"
"ecs:ECs_0422","taurine dioxygenase","ECs_0422"
"ecs:ECs_1982","phage minor tail protein","ECs_1982"
"ecs:ECs_2944","phage host specificity protein","ECs_2944"
"ecs:ECs_4328","acyl carrier protein","ECs_4328"
"ecs:ECs_0770","inner membrane protein","ECs_0770"
"ecs:ECs_1237","hypothetical protein","ECs_1237"
"ecs:ECs_3695","diaminopimelate decarboxylase","ECs_3695"
"ecs:ECs_R0124","tRNA-Gly","ECs_R0124"
"ecs:ECs_2258","phage antirepressor","ECs_2258"
