"logFC","logCPM","F","PValue","FDR","GeneID","Significant","GeneName"
-0.0470906292167682,2.29336533061343,0.0345353111305771,0.858642463987769,0.944351305743414,"ECs_0234","Not Significant","Hcp-like protein"
-0.0549891413491563,4.03506073114802,0.0344812362531139,0.858751562468641,0.944351305743414,"ECs_2352","Not Significant","membrane protein"
0.0708060574249624,1.23274481708679,0.0342919330640959,0.859135188664031,0.944351305743414,"ECs_5076","Not Significant","aminoalkylphosphonate N-acetyltransferase"
0.0360306914049313,6.9163453030367,0.0342258458994423,0.859268700645821,0.944351305743414,"ECs_2295","Not Significant","oxidoreductase"
0.0290594515208429,5.1684197707522,0.034210942800461,0.859298940644572,0.944351305743414,"ECs_2479","Not Significant","transcriptional regulator"
0.0639886306167511,5.85382544712699,0.0340986880430948,0.859526931979181,0.944351305743414,"ECs_R0119","Not Significant","tRNA-Gly"
0.0278262546438643,5.65180799578867,0.0340816943564789,0.859561480605111,0.944351305743414,"ECs_5023","Not Significant","4-hydroxybenzoate-octaprenyltransferase"
0.0282097349013762,5.54245840638295,0.0337921958201101,0.860151418418765,0.94456747054876,"ECs_0157","Not Significant","iron(3+)-hydroxamate import ABC transporter permease"
0.0444899060229608,3.35880822862801,0.0337016467368592,0.860336486882892,0.94456747054876,"ECs_2387","Not Significant","cysteine desulfurase"
-0.0342369534108082,2.47934425333978,0.0336982274574094,0.860343604295905,0.94456747054876,"ECs_4426","Not Significant","fimbrial adhesin protein"
0.0358098483611343,4.26702144593514,0.0335244745024772,0.860699322634535,0.94456747054876,"ECs_2413","Not Significant","hypothetical protein"
0.0438362718157386,4.22748005558902,0.0333790190522059,0.860997956005505,0.94456747054876,"ECs_4286","Not Significant","gluconate kinase 2"
-0.0504275256688883,1.14370767376705,0.0333704463136946,0.861016107513464,0.94456747054876,"ECs_2089","Not Significant","D,D-dipeptide ABC transporter permease"
-0.0325551638576735,6.46722715712332,0.0333515391456551,0.861054447765484,0.94456747054876,"ECs_2513","Not Significant","ribonuclease D"
0.0528620619566742,3.28926755818574,0.0332054714150525,0.861355183548783,0.94466697196088,"ECs_4615","Not Significant","hypothetical protein"
0.0414229485622933,2.13467779516359,0.0329285478359832,0.861927320182262,0.94466697196088,"ECs_2798","Not Significant","phospholipase"
0.0267272962073733,5.65311949149085,0.0328013462835566,0.862190690715549,0.94466697196088,"ECs_5183","Not Significant","IS609 transposase"
0.0258487093197934,9.58220963254279,0.0326754041358113,0.862452170929788,0.94466697196088,"ECs_0975","Not Significant","cell division protein FtsK"
0.0261548804516254,8.07446707887858,0.0326292484541223,0.862548130126949,0.94466697196088,"ECs_4117","Not Significant","protease TldD"
0.0341812486070515,5.54953850625273,0.0326062002071479,0.862596075014088,0.94466697196088,"ECs_4342","Not Significant","4'-phosphopantetheinyl transferase"
0.0541500837574797,0.455615002879074,0.0325523742640137,0.862709363292513,0.94466697196088,"ECs_1304","Not Significant","hypothetical protein"
0.0274854412860138,7.74917276856565,0.0325174479335523,0.86278085944423,0.94466697196088,"ECs_4766","Not Significant","TatABCE protein translocation system subunit TatA"
